temporada,fase,jogo,data,adversario,local,pontos_pro,pontos_contra,prorrogacao,resultado,cestinha,pontos_cestinha
2021-22,temporada regular,1,October 19,L.A. Lakers,fora,121,114,nao,vitoria,Stephen Curry,21
2021-22,temporada regular,2,October 21,L.A. Clippers,casa,115,113,nao,vitoria,Stephen Curry,45
2021-22,temporada regular,3,October 24,Sacramento,fora,119,107,nao,vitoria,Stephen Curry,27
2021-22,temporada regular,4,October 26,Oklahoma City,fora,106,98,nao,vitoria,Stephen Curry,23
2021-22,temporada regular,5,October 28,Memphis,casa,101,104,sim,derrota,Stephen Curry,36
2021-22,temporada regular,6,October 30,Oklahoma City,casa,103,82,nao,vitoria,Stephen Curry,20
2021-22,temporada regular,7,November 3,Charlotte,casa,114,92,nao,vitoria,Jordan Poole,31
2021-22,temporada regular,8,November 5,New Orleans,casa,126,85,nao,vitoria,Jordan Poole,26
2021-22,temporada regular,9,November 7,Houston,casa,120,107,nao,vitoria,Jordan Poole,25
2021-22,temporada regular,10,November 8,Atlanta,casa,127,113,nao,vitoria,Stephen Curry,50
2021-22,temporada regular,11,November 10,Minnesota,casa,123,110,nao,vitoria,Andrew Wiggins,35
2021-22,temporada regular,12,November 12,Chicago,casa,119,93,nao,vitoria,Stephen Curry,40
2021-22,temporada regular,13,November 14,Charlotte,fora,102,106,nao,derrota,Andrew Wiggins,28
2021-22,temporada regular,14,November 16,Brooklyn,fora,117,99,nao,vitoria,Stephen Curry,37
2021-22,temporada regular,15,November 18,Cleveland,fora,104,89,nao,vitoria,Stephen Curry,40
2021-22,temporada regular,16,November 19,Detroit,fora,105,102,nao,vitoria,Jordan Poole,32
2021-22,temporada regular,17,November 21,Toronto,casa,119,104,nao,vitoria,Jordan Poole,33
2021-22,temporada regular,18,November 24,Philadelphia,casa,116,96,nao,vitoria,Stephen Curry,25
2021-22,temporada regular,19,November 26,Portland,casa,118,103,nao,vitoria,Stephen Curry,32
2021-22,temporada regular,20,November 28,L.A. Clippers,fora,105,90,nao,vitoria,Stephen Curry,33
2021-22,temporada regular,21,November 30,Phoenix,fora,96,104,nao,derrota,Jordan Poole,28
2021-22,temporada regular,22,December 3,Phoenix,casa,118,96,nao,vitoria,Stephen Curry,23
2021-22,temporada regular,23,December 4,San Antonio,casa,107,112,nao,derrota,Stephen Curry,27
2021-22,temporada regular,24,December 6,Orlando,casa,126,95,nao,vitoria,Stephen Curry,31
2021-22,temporada regular,25,December 8,Portland,casa,104,94,nao,vitoria,Stephen Curry,22
2021-22,temporada regular,26,December 11,Philadelphia,fora,93,102,nao,derrota,Jordan Poole,23
2021-22,temporada regular,27,December 13,Indiana,fora,102,100,nao,vitoria,Stephen Curry,26
2021-22,temporada regular,28,December 14,New York,fora,105,96,nao,vitoria,Stephen Curry,22
2021-22,temporada regular,29,December 17,Boston,fora,111,107,nao,vitoria,Stephen Curry,30
2021-22,temporada regular,30,December 18,Toronto,fora,100,119,nao,derrota,Jonathan Kuminga,26
2021-22,temporada regular,31,December 20,Sacramento,casa,113,98,nao,vitoria,Stephen Curry,30
2021-22,temporada regular,32,December 23,Memphis,casa,113,104,nao,vitoria,Stephen Curry,46
2021-22,temporada regular,33,December 25,Phoenix,fora,116,107,nao,vitoria,Stephen Curry,33
2021-22,temporada regular,34,December 28,Denver,casa,86,89,nao,derrota,Stephen Curry,23
2021-22,temporada regular,35,January 1,Utah,fora,123,116,nao,vitoria,Stephen Curry,28
2021-22,temporada regular,36,January 3,Miami,casa,115,108,nao,vitoria,Jordan Poole,32
2021-22,temporada regular,37,January 5,Dallas,fora,82,99,nao,derrota,Andrew Wiggins,17
2021-22,temporada regular,38,January 6,New Orleans,fora,96,101,nao,derrota,Andrew Wiggins,21
2021-22,temporada regular,39,January 9,Cleveland,casa,96,82,nao,vitoria,Stephen Curry,28
2021-22,temporada regular,40,January 11,Memphis,fora,108,116,nao,derrota,Stephen Curry,27
2021-22,temporada regular,41,January 13,Milwaukee,fora,99,118,nao,derrota,Andrew Wiggins,16
2021-22,temporada regular,42,January 14,Chicago,fora,138,96,nao,vitoria,Jonathan Kuminga,25
